Designator,Mid X,Mid Y,Rotation,Layer
A1,515.6575,-170.6825,180.0,top
C1,505.5075,-102.4575,90.0,top
C2,506.8175,-124.7075,90.0,top
C3,518.8475,-90.6475,270.0,top
D1,84.915,-115.92,90.0,bottom
D10,256.365,-115.92,90.0,bottom
D100,325.42125,-192.12,90.0,bottom
D101,349.23375,-192.12,90.0,bottom
D102,277.79625,-192.12,90.0,bottom
D103,206.35875,-192.12,90.0,bottom
D104,375.4275,-192.12,90.0,bottom
D105,394.4775,-192.12,90.0,bottom
D106,413.5275,-192.12,90.0,bottom
D107,446.865,-192.12,90.0,bottom
D108,475.44,-192.12,90.0,bottom
D109,367.965,-150.0175,0.0,top
D11,275.415,-115.92,90.0,bottom
D110,382.195,-150.0175,0.0,top
D111,396.385,-149.9675,0.0,top
D112,410.695,-150.0175,0.0,top
D12,294.465,-115.92,90.0,bottom
D13,313.515,-115.92,90.0,bottom
D14,342.09,-115.92,90.0,bottom
D15,375.4275,-115.92,90.0,bottom
D16,394.4775,-115.92,90.0,bottom
D17,413.5275,-115.92,90.0,bottom
D18,437.34,-115.92,90.0,bottom
D19,456.39,-115.92,90.0,bottom
D2,103.965,-115.92,90.0,bottom
D20,475.44,-115.92,90.0,bottom
D21,494.49,-115.92,90.0,bottom
D22,375.4275,-92.1075,90.0,bottom
D23,394.4775,-92.1075,90.0,bottom
D24,413.5275,-92.1075,90.0,bottom
D25,437.34,-92.1075,90.0,bottom
D26,456.39,-92.1075,90.0,bottom
D27,475.44,-92.1075,90.0,bottom
D28,494.49,-92.1075,90.0,bottom
D29,294.465,-92.1075,90.0,bottom
D3,123.015,-115.92,90.0,bottom
D30,313.515,-92.1075,90.0,bottom
D31,332.565,-92.1075,90.0,bottom
D32,351.615,-92.1075,90.0,bottom
D33,84.915,-92.1075,90.0,bottom
D34,123.015,-92.1075,90.0,bottom
D35,142.065,-92.1075,90.0,bottom
D36,161.115,-92.1075,90.0,bottom
D37,180.165,-92.1075,90.0,bottom
D38,208.74,-92.1075,90.0,bottom
D39,227.79,-92.1075,90.0,bottom
D4,142.065,-115.92,90.0,bottom
D40,246.84,-92.1075,90.0,bottom
D41,265.89,-92.1075,90.0,bottom
D42,89.6775,-134.97,90.0,bottom
D43,113.49,-134.97,90.0,bottom
D44,132.54,-134.97,90.0,bottom
D45,151.59,-134.97,90.0,bottom
D46,170.64,-134.97,90.0,bottom
D47,189.69,-134.97,90.0,bottom
D48,208.74,-134.97,90.0,bottom
D49,227.79,-134.97,90.0,bottom
D5,161.115,-115.92,90.0,bottom
D50,246.84,-134.97,90.0,bottom
D51,265.89,-134.97,90.0,bottom
D52,284.94,-134.97,90.0,bottom
D53,303.99,-134.97,90.0,bottom
D54,323.04,-134.97,90.0,bottom
D55,346.8525,-134.97,90.0,bottom
D56,375.4275,-134.97,90.0,bottom
D57,394.4775,-134.97,90.0,bottom
D58,413.5275,-134.97,90.0,bottom
D59,437.34,-134.97,90.0,bottom
D6,180.165,-115.92,90.0,bottom
D60,456.39,-134.97,90.0,bottom
D61,475.44,-134.97,90.0,bottom
D62,494.49,-144.495,90.0,bottom
D63,92.05875,-154.02,90.0,bottom
D64,118.2525,-154.02,90.0,bottom
D65,137.3025,-154.02,90.0,bottom
D66,156.3525,-154.02,90.0,bottom
D67,175.4025,-154.02,90.0,bottom
D68,194.4525,-154.02,90.0,bottom
D69,213.5025,-154.02,90.0,bottom
D7,199.215,-115.92,90.0,bottom
D70,232.5525,-154.02,90.0,bottom
D71,251.6025,-154.02,90.0,bottom
D72,270.6525,-154.02,90.0,bottom
D73,289.7025,-154.02,90.0,bottom
D74,308.7525,-154.02,90.0,bottom
D75,339.70875,-154.02,90.0,bottom
D76,437.34,-154.02,90.0,bottom
D77,456.39,-154.02,90.0,bottom
D78,475.44,-154.02,90.0,bottom
D79,96.82125,-173.07,90.0,bottom
D8,218.265,-115.92,90.0,bottom
D80,127.7775,-173.07,90.0,bottom
D81,146.8275,-173.07,90.0,bottom
D82,165.8775,-173.07,90.0,bottom
D83,184.9275,-173.07,90.0,bottom
D84,203.9775,-173.07,90.0,bottom
D85,223.0275,-173.07,90.0,bottom
D86,242.0775,-173.07,90.0,bottom
D87,261.1275,-173.07,90.0,bottom
D88,280.1775,-173.07,90.0,bottom
D89,299.2275,-173.07,90.0,bottom
D9,237.315,-115.92,90.0,bottom
D90,334.94625,-173.07,90.0,bottom
D91,394.4775,-173.07,90.0,bottom
D92,437.34,-173.07,90.0,bottom
D93,456.39,-173.07,90.0,bottom
D94,475.44,-173.07,90.0,bottom
D95,494.49,-182.595,90.0,bottom
D96,87.29625,-192.12,90.0,bottom
D97,111.10875,-192.12,90.0,bottom
D98,134.92125,-192.12,90.0,bottom
D99,301.60875,-192.12,90.0,bottom
J1,515.45,-78.09,180.0,top
J2,517.9575,-138.0575,90.0,top
R1,503.9075,-106.605,270.0,top
R2,507.1675,-106.57,270.0,top
R3,371.745,-150.105,90.0,top
R4,385.945,-150.1475,90.0,top
R5,400.105,-150.125,90.0,top
R6,414.485,-150.135,90.0,top
R7,515.5475,-90.5975,270.0,top
R8,512.3075,-90.615,270.0,top
SW1,79.835,-109.755,0.0,top
SW10,251.285,-109.755,0.0,top
SW100,320.34125,-185.955,0.0,top
SW101,344.15375,-185.955,0.0,top
SW102,272.71625,-185.955,0.0,top
SW103,200.64375,-185.955,0.0,top
SW104,370.3475,-185.955,0.0,top
SW105,389.3975,-185.955,0.0,top
SW106,408.4475,-185.955,0.0,top
SW107,441.785,-185.955,0.0,top
SW108,470.36,-185.955,0.0,top
SW11,270.335,-109.755,0.0,top
SW116,504.485,-115.9075,90.0,bottom
SW12,289.385,-109.755,0.0,top
SW13,308.435,-109.755,0.0,top
SW14,337.01,-109.755,0.0,top
SW15,370.3475,-109.755,0.0,top
SW16,389.3975,-109.755,0.0,top
SW17,408.4475,-109.755,0.0,top
SW18,432.26,-109.755,0.0,top
SW19,451.31,-109.755,0.0,top
SW2,98.885,-109.755,0.0,top
SW20,470.36,-109.755,0.0,top
SW21,489.41,-109.755,0.0,top
SW22,370.3475,-85.9425,0.0,top
SW23,389.3975,-85.9425,0.0,top
SW24,408.4475,-85.9425,0.0,top
SW25,432.26,-85.9425,0.0,top
SW26,451.31,-85.9425,0.0,top
SW27,470.36,-85.9425,0.0,top
SW28,489.41,-85.9425,0.0,top
SW29,289.385,-85.9425,0.0,top
SW3,117.935,-109.755,0.0,top
SW30,308.435,-85.9425,0.0,top
SW31,327.485,-85.9425,0.0,top
SW32,346.535,-85.9425,0.0,top
SW33,79.835,-85.9425,0.0,top
SW34,117.935,-85.9425,0.0,top
SW35,136.985,-85.9425,0.0,top
SW36,156.035,-85.9425,0.0,top
SW37,175.085,-85.9425,0.0,top
SW38,203.66,-85.9425,0.0,top
SW39,222.71,-85.9425,0.0,top
SW4,136.985,-109.755,0.0,top
SW40,241.76,-85.9425,0.0,top
SW41,260.81,-85.9425,0.0,top
SW42,84.5975,-128.805,0.0,top
SW43,108.41,-128.805,0.0,top
SW44,127.46,-128.805,0.0,top
SW45,146.51,-128.805,0.0,top
SW46,165.56,-128.805,0.0,top
SW47,184.61,-128.805,0.0,top
SW48,203.66,-128.805,0.0,top
SW49,222.71,-128.805,0.0,top
SW5,156.035,-109.755,0.0,top
SW50,241.76,-128.805,0.0,top
SW51,260.81,-128.805,0.0,top
SW52,279.86,-128.805,0.0,top
SW53,298.91,-128.805,0.0,top
SW54,317.96,-128.805,0.0,top
SW55,341.7725,-128.805,0.0,top
SW56,370.3475,-128.805,0.0,top
SW57,389.3975,-128.805,0.0,top
SW58,408.4475,-128.805,0.0,top
SW59,432.26,-128.805,0.0,top
SW6,175.085,-109.755,0.0,top
SW60,451.31,-128.805,0.0,top
SW61,470.36,-128.805,0.0,top
SW62,489.41,-138.33,0.0,top
SW63,86.97875,-147.855,0.0,top
SW64,113.1725,-147.855,0.0,top
SW65,132.2225,-147.855,0.0,top
SW66,151.2725,-147.855,0.0,top
SW67,170.3225,-147.855,0.0,top
SW68,189.3725,-147.855,0.0,top
SW69,208.4225,-147.855,0.0,top
SW7,194.135,-109.755,0.0,top
SW70,227.4725,-147.855,0.0,top
SW71,246.5225,-147.855,0.0,top
SW72,265.5725,-147.855,0.0,top
SW73,284.6225,-147.855,0.0,top
SW74,303.6725,-147.855,0.0,top
SW75,334.62875,-147.855,0.0,top
SW76,432.26,-147.855,0.0,top
SW77,451.31,-147.855,0.0,top
SW78,470.36,-147.855,0.0,top
SW79,91.74125,-166.905,0.0,top
SW8,213.185,-109.755,0.0,top
SW80,122.6975,-166.905,0.0,top
SW81,141.7475,-166.905,0.0,top
SW82,160.7975,-166.905,0.0,top
SW83,179.8475,-166.905,0.0,top
SW84,198.8975,-166.905,0.0,top
SW85,217.9475,-166.905,0.0,top
SW86,236.9975,-166.905,0.0,top
SW87,256.0475,-166.905,0.0,top
SW88,275.0975,-166.905,0.0,top
SW89,294.1475,-166.905,0.0,top
SW9,232.235,-109.755,0.0,top
SW90,329.86625,-166.905,0.0,top
SW91,389.3975,-166.905,0.0,top
SW92,432.26,-166.905,0.0,top
SW93,451.31,-166.905,0.0,top
SW94,470.36,-166.905,0.0,top
SW95,489.41,-176.43,0.0,top
SW96,82.21625,-185.955,0.0,top
SW97,106.02875,-185.955,0.0,top
SW98,129.84125,-185.955,0.0,top
SW99,296.52875,-185.955,0.0,top
U1,515.6675,-102.3125,270.0,top
U2,515.6775,-122.2225,270.0,top
U3,509.27,-135.6375,180.0,top
